interviewernumber	questionnairecode	Age	gender	race	howlong	own_rent	adults	adultsemployed	householdincome	personalincome	originalstratum	howclosepicture	howclosewords	inf_stlmnt_accuracy	residence_accuracy	crowflies_address_indicatedinfstlmnt	crowflies_indicatedaddress_indicatedinfstlmnt	crowflies_address_infstlmnt	crowflies_indicatedaddress_infstlmnt	byroad_address_indicatedinfstlmnt	byroad_indicatedaddress_indicatedinfstlmnt	byroad_address_infstlmnt	byroad_indicatedaddress_infstlmnt	hve_fence	hve_razorwire	hve_electricfence	hve_burglarbars	hve_dogs	hve_alarm	hve_armedrespnse	hve_camera	other	want_fence	want_razorwire	want_electricfence	want_burglarbars	want_dogs	want_alarm	want_armedrespnse	want_camera	other_A	cnt_avd1	cnt_avd2	cnt_avd3	cnt_avd4	SJ1	SJ2	SJ3	SJ4	Thrt_Phy1	Thrt_Phy2	Thrt_Phy3	Thrt_Rce1	Thrt_Rce2	Thrt_Rce3	Thrt_Rce4	Thrt_Sym1	Thrt_Sym2	Thrt_Sym3	Thrt_Sym4	Thrt_Sym5	Idnt_In1	Idnt_In2	Idnt_In3	Idnt_Nd1	Idnt_Nd2	Idnt_Nd3	Att_IS1	Att_IS2	Att_IS3	Att_IS4	Att_IS5	Att_B1	Att_B2	Att_B3	Att_B4	Att_B5	PA1	PA2	PA3	PA4	Cnt_IS_see	Cnt_IS_hear	Cnt_IS_smell	Cnt_qnt_B	Cnt_qnt_IS	Cnt_pos_B	Cnt_neg_B	Cnt_pos_IS1	Cnt_Qul_IS1	Cnt_Qul_IS2	Cnt_Qul_IS3	Cnt_neg_IS1	Cnt_neg_IS2	Cnt_neg_IS3	Cnt_Ex_B1	Cnt_Ex_B2	Cnt_Ex_IS1	Cnt_Ex_IS2	PD_I_D	PD_N_D	PD_B_D	PD_Is_D	PD_I_F	PD_N_F	PD_B_F	PD_Is_F	Emot_Is_D1	Emot_Is_D2	Emot_Is_D3	Emot_Is_G1	Emot_Is_G2	Emot_Is_G3	Emot_Is_G4	Emot_Is_G5	Emot_Is_G6	Emot_Is_G7	Emot_Is_G8	CA_Is1	CA_Is2	CA_B1	CA_B2	Solidar1	Solidar2	Empath1	Empath2	Empath3	Empath4	Empth_P1	Empth_P2	Empth_P3	Domestic	Domes_PtFt	Dom_Is	Dom_Att1	Dom_Att2	Gardner	Gardn_PtFt	Gardn_Is	Gardn_Att1	Gardn_Att2	cnt_avd	SysJus	Thrt_Phy	Thrt_Rce	Thrt_Sym	Idnt_In	Idnt_Nd	Prej_IS	Prej_B	PolAtt	Cnt_Qul_IS	Cnt_neg_IS	PDisc_I	PDisc_Is	Emot_Is_D	Emot_Is_G	Emot_IS_G_Angry	Emot_IS_G_Repuls	ColAct_Is	ColAct_B	Solidar	Empath	Dom_Relat	Gardn_Relat	Cnt_IS_Visceral	CNT_Physical	CNT_Qaulity	CNT_Quantity	CNT_Extended	Distance.SelfReport	group_meansplit_crwofliesdistance
1	A9	55	0	2	17	0	4	2	10	1	2	2	0	0	1	124.15	248	124.15	248	130.91	415.51	130.91	415.51	1	0	0	1	1	0	0	0	 	0	1	1	0	0	1	1	1	neighborhood	0	3	3	3	2	3	3	3	4	4	4	4	4	4	3	1	3	3	3	4	4	4	4	4	3	3	9	9	9	9	9	5	5	5	5	5	4	4	4	4	1	1	1	4	4	4	2	3	1	1	3	4	4	4	2	2	0	0	3	3	3	3	3	1	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	1	3	1	3	1	 	 	 	 	1	 	 	 	 	2.25	3	4	3.75	2.8	4	3.33333333333333	9	5	4	1.66666666666667	4	3	3	4	4	.459640194724626	1.03215258825581	4	3	3	2.5	 	 	3	-.926917633582568	.331874730473134	2.15160721402063	-1.26296407531753	1	1
1	A60	26	1	2	37	0	3	1	17	17	3	2	1	0	0	179.8	179.8	179.8	179.8	180.3	180.3	180.3	180.3	1	1	0	1	0	1	1	0	 	0	0	1	0	0	0	0	1	 	0	0	2	3	4	1	1	2	3	3	3	2	3	3	3	3	2	3	2	3	4	4	3	3	2	3	5	5	7	5	5	5	5	7	5	6	3	4	4	4	0	0	0	3	2	2	2	1	2	2	3	2	1	2	9	2	 	0	2	1	1	2	2	2	2	2	0	0	0	2	2	2	2	2	1	2	2	3	3	2	2	3	3	3	2	3	3	2	1	3	0	1	1	9	9	0	1	1	9	9	1.25	1.33333333333333	3	2.75	2.6	3.66666666666667	2.66666666666667	5.4	5.6	3.75	2.33333333333333	1.66666666666667	2	2	0	1.875	-1.1989208203255	-.0520477883764552	3	2	3	2.75	9	9	0	-.20777661829242	-.21571528881322	-.599480025188112	-.665914680447951	2	1
4	D54	62	1	2	39	0	2	 	16	16	2	1	0	1	1	 	 	99.2	715.37	 	 	227.78	1002.63	1	1	0	1	0	1	0	0	 	1	1	1	1	1	1	1	1	SECURITY GUA	4	4	4	4	0	2	0	0	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	9	9	9	9	9	5	6	9	9	5	4	4	4	4	0	1	1	4	4	0	4	0	0	0	0	4	4	4	 	0	 	0	4	4	2	4	4	3	4	3	2	1	0	4	4	4	4	4	1	4	4	0	0	3	 	0	4	3	3	1	1	1	1	3	 	 	 	 	 	 	 	 	 	 	4	.666666666666667	4	3	4	4	4	9	6.8	4	0	4	4	3.5	1	3.625	.771580409693638	.285852437398132	0	1.5	2	2	 	 	2	-.622375280293117	-2.97765336375201	.944096495075897	-1.1257910142255	.5	1
1	A10	48	1	2	35	0	3	1	9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	2	2	3	4	2	1	0	1	4	4	4	4	4	4	2	3	4	4	2	4	4	4	4	2	2	2	5	7	7	5	7	5	4	3	5	3	2	3	4	4	1	1	1	2	4	2	2	1	1	2	2	1	2	2	5	1	5	1	4	3	2	1	3	2	2	2	0	0	0	3	2	4	4	2	2	3	2	2	3	3	2	2	3	3	1	2	1	2	2	2	0	1	0	9	9	0	1	0	5	5	2.75	.666666666666667	4	3.5	3.4	4	2	6.2	4	3.25	1.66666666666667	1.66666666666667	3.5	1.5	0	2.75	.148705679457695	-.24755348260289	2.5	2.5	2.5	1.75	9	5	3	-1.35847869252008	-.487558555621919	-.343294444332824	-.515426490306084	.5	1
1	A52	35	1	2	38	0	3	2	 	 	2	2	0	0	0	62	62	62	62	104.91	104.91	104.91	104.91	1	0	0	1	1	0	0	0	 	0	1	1	0	0	1	1	1	 	0	0	0	0	4	0	3	3	3	1	1	4	4	1	4	4	4	4	4	1	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	4	4	4	4	1	1	0	2	2	2	2	2	3	3	3	0	0	3	8	3	3	2	4	4	0	1	4	0	4	1	0	0	0	4	4	4	3	2	0	0	0	0	0	0	1	0	0	1	3	1	1	0	1	1	0	1	1	7	4	0	1	1	4	4	0	2	1.66666666666667	3.25	3.4	4	4	5	5	4	3	1	4	1	0	2.125	1.80739262726682	-2.55208615003574	0	.5	0	1.5	5.5	4	2	-1.02638476100493	.17146020666948	-1.13993652483155	.82007094703717	1	1
4	D24	21	1	2	18	0	3	0	 	 	3	3	1	0	0	434	434	434	434	657.46	657.46	657.46	657.46	1	0	0	1	0	1	1	0	 	0	0	0	0	0	0	0	0	 	0	3	3	3	2	0	2	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	1	0	9	9	9	9	9	9	9	9	9	9	0	0	4	4	0	0	0	4	1	4	1	0	1	1	1	1	1	1	 	4	 	0	4	4	4	4	4	2	4	3	1	1	1	4	4	4	4	4	4	4	4	1	3	3	3	2	3	3	3	3	3	0	3	0	0	1	1	9	9	1	 	 	 	 	2.25	1.66666666666667	4	4	4	4	1.33333333333333	9	9	2	1	1	4	3.5	1	4	.459640194724626	1.03215258825581	2	3	2.5	3	9	 	0	.677768043696047	-.0647333140607168	-.475283658414545	.311100408951914	2.5	2
4	D40	40	1	2	20	0	2	1	15	 	2	1	0	0	1	 	 	55.8	 	197.53	 	197.53	 	1	1	0	1	1	0	0	0	 	0	0	0	0	0	0	0	0	 	4	4	4	4	4	0	1	1	4	4	4	4	3	1	4	4	4	4	4	4	4	4	4	4	4	4	 	 	 	0	 	 	 	 	 	 	3	4	4	3	1	1	1	4	4	3	2	3	1	2	2	1	3	4	 	2	 	2	3	3	2	2	3	2	3	1	 	 	 	 	 	 	 	 	 	 	 	2	1	2	3	3	3	3	3	3	3	3	1	3	1	 	 	 	 	 	 	 	 	 	4	.666666666666667	4	3	4	4	4	0	 	3.5	1.66666666666667	2.66666666666667	3	1.5	 	 	 	 	1.5	2.5	3	3	 	 	3	-1.02146030589519	.150404664441257	1.61005088377425	-.0281523970096208	.5	1
4	D41	63	0	2	25	0	4	2	 	 	2	5	0	0	1	55.06	0	55.06	0	92.6	0	92.6	0	1	0	0	1	0	1	1	0	 	0	0	0	0	0	0	0	0	 	0	3	4	4	4	4	1	2	4	4	4	1	3	1	1	4	1	3	1	4	3	3	2	3	4	3	9	7	8	9	9	0	4	5	6	6	4	3	4	4	0	0	0	3	1	2	1	0	3	1	1	1	3	4	 	4	 	1	2	1	0	3	3	3	3	0	0	0	0	4	 	 	 	 	 	 	 	3	3	4	4	4	4	3	1	2	1	3	1	3	0	1	1	9	9	1	1	1	9	9	2.75	2.33333333333333	4	1.5	2.6	2.66666666666667	3.33333333333333	8.4	4.2	3.75	1.66666666666667	2.66666666666667	2.5	1.5	0	.5	 	 	3	4	4	1.75	9	9	0	-.344616019216428	-.867980926878544	-1.43137593488872	.88910434976323	2.5	1
4	D42	70	1	2	14	1	2	1	 	 	1	1	0	0	1	0	322.4	0	322.399	0	438.99	0	438.99	1	0	0	1	0	0	0	0	 	0	1	0	0	0	1	0	0	 	0	0	0	4	1	0	2	1	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	9	9	9	9	9	9	9	9	9	9	4	4	4	4	1	1	1	4	4	0	4	0	3	3	3	4	4	4	 	0	 	0	4	4	0	0	4	1	3	1	4	4	4	4	4	4	4	4	4	4	4	1	0	1	 	0	4	4	3	3	0	3	4	3	 	 	 	 	 	 	 	 	 	 	1	1	4	4	3.8	4	4	9	9	4	3	4	4	.5	4	4	.459640194724626	1.03215258825581	.5	.5	2	2.5	 	 	3	-1.21011582040405	-2.11870875309791	.600763255717693	-.95505359749072	.5	1
2	B38	65	0	2	35	0	3	1	7	 	2	6	2	0	0	148.8	148.8	148.8	148.8	278.35	278.35	278.35	278.35	1	0	0	1	0	0	0	0	 	0	0	0	0	0	0	0	0	 	0	1	1	1	 	 	 	3	3	3	4	3	3	1	3	3	4	4	3	3	3	3	3	3	3	3	9	9	9	9	9	8	8	8	8	8	3	4	3	4	1	1	1	2	2	3	1	3	2	3	3	1	1	1	 	0	 	1	2	4	1	1	3	3	4	1	0	0	0	 	4	4	4	4	4	4	4	1	1	1	2	2	2	2	2	2	2	3	3	1	1	 	 	 	 	0	1	2	4	1	.75	1	3.33333333333333	2.5	3.4	3	3	9	8	3.5	2.66666666666667	1	2.5	1	0	3.5	 	 	1	1.5	2	2	 	2.5	3	-.307311588523583	1.26493824434994	-.434769871451966	-1.41194058189216	5	1
